,hidden_dim=128,hidden_dim=192,hidden_dim=256,hidden_dim=320,hidden_dim=384,hidden_dim=448,hidden_dim=512
0,0.8837228267,0.9366547904,1.0185392868,1.0831449326,1.0728906358,1.1407526536,1.2253260219
10,0.7383184533,0.7125535599,0.8026959305,0.8141613095,0.7757625149,0.8384020255,0.7772856928
20,0.682245574,0.7182141168,0.7445362376,0.7404393581,0.6653453694,0.6640281516,0.7012978338
30,0.676827015,0.6820682547,0.7546820547,0.6725164581,0.7097868744,0.7675502127,0.7251139121
40,0.697460502,0.7010617789,0.6978313639,0.6955918827,0.7091522795,0.6932789799,0.7686768148
50,0.681909326,0.7589689607,0.6548974521,0.7360086005,0.7075338575,0.6976196325,0.7253880231
60,0.6887255309,0.6776985247,0.7622886297,0.744789398,0.6673632984,0.6891461708,0.6801342888
70,0.6597916862,0.6546223774,0.6770861938,0.689592847,0.8025886972,0.7113709719,0.7046609825
80,0.7004685308,0.6792004822,0.7299064153,0.8032636016,0.6686467288,0.7087764954,0.7955868409
90,0.6744608221,0.6539547884,0.818901824,0.714405604,0.7603668739,0.9894689142,0.6848212921
100,0.6643519636,0.6898264969,0.7633974006,0.7748995317,0.7967085229,0.9543785204,0.8742611988
110,0.6869322339,0.7121897298,0.773642702,0.7980665212,0.754344875,0.7950591904,0.7454143407
120,0.6600787961,0.7322039878,0.7981474584,0.7686064983,0.8283138664,0.7993923143,0.7202924388
130,0.6620069274,0.810502405,0.7052817823,0.7431775138,0.7977030085,0.7308147865,0.8148794093
140,0.6993257675,0.7233320991,0.81827098,0.7843784895,0.7976510676,0.7201733169,0.8496324919
150,0.7362892074,0.6791371197,0.7712211006,0.7271493249,0.7916912113,1.0303451102,0.7799262825
160,0.6449579955,0.7216268262,0.8735442492,0.789968852,0.754304862,0.7730641681,0.7924887645
170,0.801923442,0.6984671233,0.9496968719,0.7306372295,0.8148563981,0.7373399792,0.6509050091
180,0.6902141106,0.6770881281,0.7122437684,0.7867882403,0.7610281197,0.7699453622,0.8583827424
190,0.8042401388,0.7429440095,0.8100508027,0.7561641606,0.8535280859,0.7051075948,0.9976575162
