,"learning_rate=0, pre_days=3","learning_rate=0, pre_days=5","learning_rate=0, pre_days=6","learning_rate=0, pre_days=7"
0,0.9341932936,0.9522685463,0.9078964476,0.9994057801
10,0.9275966509,0.9430193591,0.901627132,0.99287176
20,0.9216907678,0.9331064125,0.8956217407,0.9856785773
30,0.9171081899,0.9235231964,0.8888998428,0.9779684654
40,0.9133376953,0.9152583385,0.881484895,0.9697290106
50,0.9092294409,0.9083366386,0.8747117407,0.962278724
60,0.9054193169,0.9000008854,0.8680941515,0.9552483315
70,0.899675716,0.8912179408,0.8620420192,0.9481405974
80,0.8929359941,0.8813739085,0.8555381874,0.9397936843
90,0.8866253887,0.8719449107,0.8493746328,0.9309055804
100,0.8801987409,0.8625086199,0.8441649455,0.9222156783
110,0.8733623881,0.8544536848,0.8387963592,0.9140869155
120,0.8654913066,0.8472807231,0.8337853723,0.9064119313
130,0.8578623089,0.8402386249,0.8280483835,0.8985337724
140,0.8515099129,0.8346155512,0.8226067083,0.8910836321
150,0.8455009104,0.8279893319,0.8178987063,0.8834452816
160,0.8395052629,0.8221864903,0.8148563219,0.8752776836
170,0.8332901234,0.8146943003,0.8109372464,0.8673378507
180,0.8276883455,0.806931586,0.8073094244,0.8599947559
190,0.8228206514,0.7999707964,0.803736708,0.8530563319
,,,,
,,,,
,,,,
Lr=0.00038791,,,,
,L2,L1,huber_loss,
3,0.6862091199,0.6645959627,0.6917148713,
5,0.6618872399,0.6998132454,0.6440357088,
6,0.6812091529,0.6618069737,0.6674626623,
7,0.6920907027,0.6940074648,0.6565155752,
,,,,
Lr=0.00013424,L2,L1,huber_loss,
3,0.705663725,0.7420736832,0.7074040723,
5,0.7265706906,0.693165901,0.716611022,
6,0.7098699443,0.7358545778,0.6954321007,
7,0.7172348215,0.7167107062,0.7174538705,
,,,,
Lr=0.00763602,,,,
,L2,L1,huber_loss,
3,??,,,
5,,,,
6,,,,
7,,,,
,,,,
Lr=0.00240825,,,,
,L2,L1,huber_loss,
3,0.7023773611,,,
5,,,,
6,,,,
7,,,,
