,"learning_rate=0, pre_days=3","learning_rate=0, pre_days=4","learning_rate=0, pre_days=5","learning_rate=0, pre_days=6","learning_rate=0, pre_days=7"
0,1.1020654098,1.1890842705,1.1797221573,1.1391221323,1.1559749192
10,0.8114426139,0.8575646624,0.862044174,0.8462639861,0.8453092423
20,0.7356402042,0.7761596045,0.7190163107,0.7596505184,0.7996034045
30,0.7298597764,0.7506676676,0.7972878149,0.6748353662,0.7357835543
40,0.6689720454,0.6995144461,0.7499296089,0.7502480194,0.6897014853
50,0.7745430944,0.7932640887,0.6492464191,0.6545448443,0.7018358258
60,0.7221514157,0.7411024682,0.7220184158,0.6600468998,0.6790345055
70,0.725710984,0.7135175369,0.6794347356,0.7459683431,0.7543891139
80,0.6867901895,0.7820625628,0.765271386,0.8287778713,0.6752678395
90,0.6994335147,0.6933619039,0.7287629048,0.7694515755,0.7116002174
100,0.6641281492,0.7498954119,0.7047705048,0.7335234769,0.7846940063
110,0.7286847146,0.8022189575,0.7137547821,0.7328564867,0.730855961
120,0.7512268364,0.7365061076,0.7593062394,0.7679769653,0.7542403204
130,0.7748195579,0.7424210641,0.7833504144,0.7451447837,0.7614449555
140,0.7208377247,0.7751732773,0.8215353141,0.7649216477,0.8056578851
150,0.7163356108,0.7306109403,0.7811821382,0.826208264,0.7359463987
160,0.8031205628,0.7099781633,0.9594406588,0.7918936207,0.7271024138
170,0.7248884836,0.7700842576,0.7754617792,0.6869432808,0.7662130199
180,0.7435441099,0.8882890791,0.7331938344,0.8073066032,0.7576092756
190,0.7032664607,0.7338286116,0.7072859439,0.7094342226,0.8609659044
